date_jst_iso,mac_address,temperature,humidity,pm1_0,pm2_5,pm10,co2,tvoc,ch2o,co
2025-09-01T11:30:40.680+09:00,dc:2e:97:ff:f8:c7,24.2,61.6,4,6,6,819,59,109,0.0
2025-09-01T11:31:48.212+09:00,dc:2e:97:ff:f8:c7,24.1,61.6,4,6,6,818,59,108,0.0
2025-09-01T11:32:51.579+09:00,dc:2e:97:ff:f8:c7,24.1,61.6,4,6,6,821,58,103,0.0
2025-09-01T11:33:57.513+09:00,dc:2e:97:ff:f8:c7,24.1,61.6,4,6,6,820,58,106,0.0
2025-09-03T10:47:52.449+09:00,dc:2e:97:ff:f8:c7,24.2,63.3,2,3,3,755,59,106,0.0
2025-09-03T11:18:26.925+09:00,dc:2e:97:ff:f8:c7,24.2,62.9,2,3,3,751,51,85,0.0
2025-09-03T11:18:27.952+09:00,dc:2e:97:ff:f8:c7,24.2,62.9,2,3,3,751,51,85,0.0
2025-09-03T11:18:27.859+09:00,dc:2e:97:ff:f8:c7,24.2,62.9,2,3,3,751,51,85,0.0
2025-09-03T11:18:28.679+09:00,dc:2e:97:ff:f8:c7,24.2,62.9,2,3,3,751,51,85,0.0
2025-09-03T11:18:28.897+09:00,dc:2e:97:ff:f8:c7,24.2,62.9,2,3,3,751,51,85,0.0
2025-09-03T11:19:32.926+09:00,dc:2e:97:ff:f8:c7,24.3,62.9,2,3,3,753,50,86,0.0
2025-09-03T13:14:09.195+09:00,dc:2e:97:ff:f8:c7,24.3,63.5,1,2,2,810,140,247,0.0
2025-09-03T13:15:14.172+09:00,dc:2e:97:ff:f8:c7,24.3,63.6,1,2,2,813,138,234,0.0